Sample	chr19	chr9	chr8	chr18	chr2	chr12	chr21	chr13	chr20	chr3	chr22	chr11	chr1	chr10	chr15	chr5	chr4	chr14	chr6	chr16	chr17	chr7	chrX	chrY	chrM
RIH0_ANA0-HG002_DBC0_0.strobe	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.0	5.62
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr1													0.010000000000000009												
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr10														0.010000000000000009											
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr11												0.010000000000000009													
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr12						0.010000000000000009																			
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr13								0.010000000000000009																	
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr14																		0.010000000000000009							
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr15															0.010000000000000009										
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr16																				0.010000000000000009					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr17																					0.010000000000000009				
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr18				0.010000000000000009																					
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr19	0.010000000000000009																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr2					0.010000000000000009																				
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr20									0.010000000000000009																
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr21							0.010000000000000009																		
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr22											0.010000000000000009														
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr3										0.010000000000000009															
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr4																	0.010000000000000009								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr5																0.010000000000000009									
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr6																			0.010000000000000009						
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr7																						0.010000000000000009			
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr8			0.010000000000000009																						
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr9		0.010000000000000009																							
