Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
RIH0_ANA0-HG002_DBC0_0.strobe	('chr1', 0.010000000000000009)	('chr2', 0.010000000000000009)	('chr3', 0.010000000000000009)	('chr4', 0.010000000000000009)	('chr5', 0.010000000000000009)	('chr6', 0.010000000000000009)	('chr7', 0.010000000000000009)	('chr8', 0.010000000000000009)	('chr9', 0.010000000000000009)	('chr10', 0.010000000000000009)	('chr11', 0.010000000000000009)	('chr12', 0.010000000000000009)	('chr13', 0.010000000000000009)	('chr14', 0.010000000000000009)	('chr15', 0.010000000000000009)	('chr16', 0.010000000000000009)	('chr17', 0.010000000000000009)	('chr18', 0.010000000000000009)	('chr19', 0.010000000000000009)	('chr20', 0.010000000000000009)	('chr21', 0.010000000000000009)	('chr22', 0.010000000000000009)	('chrX', 0.010000000000000009)	('chrY', 0.0)	('chrM', 5.62)
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr1	('chr1', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr10	('chr10', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr11	('chr11', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr12	('chr12', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr13	('chr13', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr14	('chr14', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr15	('chr15', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr16	('chr16', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr17	('chr17', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr18	('chr18', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr19	('chr19', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr2	('chr2', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr20	('chr20', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr21	('chr21', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr22	('chr22', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr3	('chr3', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr4	('chr4', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr5	('chr5', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr6	('chr6', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr7	('chr7', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr8	('chr8', 0.010000000000000009)																								
RIH0_ANA0-HG002_DBC0_0.strobe.md.chr9	('chr9', 0.010000000000000009)																								
