Module	Section	Sample Name	Source
VerifyBAMID	all_sections	RIH0_ANA0-HG002_DBC0_0.strobe	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/contam/vb2/RIH0_ANA0-HG002_DBC0_0.strobe.vb2.selfSM
FastQC	all_sections	RIH0_ANA0-HG002_DBC0_0.R1	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/seqqc/fastqc/RIH0_ANA0-HG002_DBC0_0.R1_fastqc.zip
FastQC	all_sections	RIH0_ANA0-HG002_DBC0_0.R2	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/seqqc/fastqc/RIH0_ANA0-HG002_DBC0_0.R2_fastqc.zip
Bcftools	stats	RIH0_ANA0-HG002_DBC0_0.strobe.sentd.snv.sort	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/snv/sentd/bcfstats/RIH0_ANA0-HG002_DBC0_0.strobe.sentd.bcfstats.tsv
Samtools	stats	RIH0_ANA0-HG002_DBC0_0.strobe.st	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/samtmetrics/RIH0_ANA0-HG002_DBC0_0.strobe.st.stats.tsv
Samtools	stats	RIH0_ANA0-HG002_DBC0_0.strobe	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/samtmetrics/RIH0_ANA0-HG002_DBC0_0.strobe.stats.tsv
Samtools	flagstat	RIH0_ANA0-HG002_DBC0_0.strobe	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/samtmetrics/RIH0_ANA0-HG002_DBC0_0.strobe.flagstat.tsv
Samtools	flagstat	RIH0_ANA0-HG002_DBC0_0.strobe.st	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/samtmetrics/RIH0_ANA0-HG002_DBC0_0.strobe.st.flagstat.tsv
Samtools	idxstats	samtools-idxstats-mapped-reads-plot_Observed_over_Expected_Counts	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/reports/DAY_final_multiqc_data/samtools-idxstats-mapped-reads-plot_Observed_over_Expected_Counts.txt
Samtools	idxstats	samtools-idxstats-mapped-reads-plot_Raw_Counts	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/reports/DAY_final_multiqc_data/samtools-idxstats-mapped-reads-plot_Raw_Counts.txt
Samtools	idxstats	samtools-idxstats-mapped-reads-plot_Normalised_Counts	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/reports/DAY_final_multiqc_data/samtools-idxstats-mapped-reads-plot_Normalised_Counts.txt
Samtools	idxstats	RIH0_ANA0-HG002_DBC0_0.strobe.idxstat	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/samtmetrics/RIH0_ANA0-HG002_DBC0_0.strobe.idxstat.tsv
Samtools	idxstats	RIH0_ANA0-HG002_DBC0_0.strobe.st.idxstat	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/samtmetrics/RIH0_ANA0-HG002_DBC0_0.strobe.st.idxstat.tsv
QualiMap	genome_results	RIH0_ANA0-HG002_DBC0_0.strobe.mrkdup.sort	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/qmap/RIH0_ANA0-HG002_DBC0_0.strobe/genome_results.txt
QualiMap	coverage_histogram	RIH0_ANA0-HG002_DBC0_0	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/qmap/RIH0_ANA0-HG002_DBC0_0/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RIH0_ANA0-HG002_DBC0_0.strobe	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/qmap/RIH0_ANA0-HG002_DBC0_0.strobe/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	RIH0_ANA0-HG002_DBC0_0	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/qmap/RIH0_ANA0-HG002_DBC0_0/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	RIH0_ANA0-HG002_DBC0_0.strobe	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/qmap/RIH0_ANA0-HG002_DBC0_0.strobe/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	RIH0_ANA0-HG002_DBC0_0	/fsx/analysis_results/ubuntu/testsetn/daylily/results/day/hg38/RIH0_ANA0-HG002_DBC0_0/align/strobe/alignqc/qmap/RIH0_ANA0-HG002_DBC0_0/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
